a	pref_name
(107085,ORGANISM,"Deroceras panormitanum",381125,"Deroceras panormitanum",CHEMBL2366954,0)	Deroceras panormitanum
(107086,ORGANISM,"Calystegia sepium",47519,"Calystegia sepium",CHEMBL2366955,0)	Calystegia sepium
(107087,ORGANISM,"Beta vulgaris",161934,"Beta vulgaris",CHEMBL2366956,0)	Beta vulgaris
(107088,ORGANISM,"Pectobacterium carotovorum subsp. carotovorum",555,"Pectobacterium carotovorum subsp. carotovorum",CHEMBL2366957,0)	Pectobacterium carotovorum subsp. carotovorum
(107089,ORGANISM,"Senna occidentalis",126820,"Senna occidentalis",CHEMBL2366958,0)	Senna occidentalis
(107090,ORGANISM,"Lagenaria siceraria",3668,"Lagenaria siceraria",CHEMBL2366959,0)	Lagenaria siceraria
(107091,ORGANISM,"Orobanche ramosa",46066,"Orobanche ramosa",CHEMBL2366960,0)	Orobanche ramosa
(107092,ORGANISM,"Amaranthus blitum",338571,"Amaranthus blitum",CHEMBL2366961,0)	Amaranthus blitum
(107093,ORGANISM,Cytospora,117544,Cytospora,CHEMBL2366962,1)	Cytospora
(107094,ORGANISM,"Dactylis glomerata",4509,"Dactylis glomerata",CHEMBL2366963,0)	Dactylis glomerata
(107095,ORGANISM,Daphnia,6668,Daphnia,CHEMBL2366964,1)	Daphnia
(107096,ORGANISM,"Xanthomonas campestris pv. sesami",487889,"Xanthomonas campestris pv. sesami",CHEMBL2366965,0)	Xanthomonas campestris pv. sesami
(107097,ORGANISM,"Human poliovirus 1 strain Sabin",12082,"Human poliovirus 1 strain Sabin",CHEMBL2366966,0)	Human poliovirus 1 strain Sabin
(107098,ORGANISM,"Brassica rapa",3711,"Brassica rapa",CHEMBL2366967,0)	Brassica rapa
(107099,ORGANISM,"Acinetobacter radioresistens",40216,"Acinetobacter radioresistens",CHEMBL2366968,0)	Acinetobacter radioresistens
(107100,ORGANISM,"Pichia membranifaciens",4926,"Pichia membranifaciens",CHEMBL2366969,0)	Pichia membranifaciens
(107101,ORGANISM,"Agrostis stolonifera var. palustris",62759,"Agrostis stolonifera var. palustris",CHEMBL2366970,0)	Agrostis stolonifera var. palustris
(107102,ORGANISM,"Agrilus planipennis",224129,"Agrilus planipennis",CHEMBL2366971,0)	Agrilus planipennis
(107103,ORGANISM,"Brassica oleracea var. italica",36774,"Brassica oleracea var. italica",CHEMBL2366972,0)	Brassica oleracea var. italica
(107104,ORGANISM,"Uromyces appendiculatus",5264,"Uromyces appendiculatus",CHEMBL2366973,0)	Uromyces appendiculatus
(107105,ORGANISM,"Fusarium oxysporum f. sp. dianthi",42551,"Fusarium oxysporum f. sp. dianthi",CHEMBL2366974,0)	Fusarium oxysporum f. sp. dianthi
(107106,ORGANISM,"Aspergillus awamori",105351,"Aspergillus awamori",CHEMBL2366975,0)	Aspergillus awamori
(107107,ORGANISM,"Anastrepha obliqua",95512,"Anastrepha obliqua",CHEMBL2366976,0)	Anastrepha obliqua
(107108,ORGANISM,"Diaporthe longicolla",54899,"Diaporthe longicolla",CHEMBL2366977,0)	Diaporthe longicolla
(107109,ORGANISM,"Nitrosomonas sp. TK794",79974,"Nitrosomonas sp. TK794",CHEMBL2366978,0)	Nitrosomonas sp. TK794
(107110,ORGANISM,Muhlenbergia,58090,Muhlenbergia,CHEMBL2366979,1)	Muhlenbergia
(107111,ORGANISM,"Crotalaria juncea",3829,"Crotalaria juncea",CHEMBL2366980,0)	Crotalaria juncea
(107112,ORGANISM,Belonolaimus,57561,Belonolaimus,CHEMBL2366981,1)	Belonolaimus
(107113,ORGANISM,"Blatta orientalis",6976,"Blatta orientalis",CHEMBL2366982,0)	Blatta orientalis
(107114,ORGANISM,Paralobesia,581690,Paralobesia,CHEMBL2366983,1)	Paralobesia
(107115,ORGANISM,"Trialeurodes vaporariorum",88556,"Trialeurodes vaporariorum",CHEMBL2366984,0)	Trialeurodes vaporariorum
(107116,ORGANISM,"Euphorbia hirta",318062,"Euphorbia hirta",CHEMBL2366985,0)	Euphorbia hirta
(107117,ORGANISM,"Aleurodicus dispersus",267823,"Aleurodicus dispersus",CHEMBL2366986,0)	Aleurodicus dispersus
(107118,ORGANISM,"Glomerella cingulata",5457,"Glomerella cingulata",CHEMBL2366987,0)	Glomerella cingulata
(107119,ORGANISM,"Phasmarhabditis hermaphrodita",359295,"Phasmarhabditis hermaphrodita",CHEMBL2366988,0)	Phasmarhabditis hermaphrodita
(107120,ORGANISM,"Ipomoea lacunosa",89647,"Ipomoea lacunosa",CHEMBL2366989,0)	Ipomoea lacunosa
(107121,ORGANISM,"Streptomyces scabiei",1930,"Streptomyces scabiei",CHEMBL2366990,0)	Streptomyces scabiei
(107122,ORGANISM,"Enterobacter asburiae",61645,"Enterobacter asburiae",CHEMBL2366991,0)	Enterobacter asburiae
(107123,ORGANISM,"Serratia marcescens subsp. marcescens",211759,"Serratia marcescens subsp. marcescens",CHEMBL2366992,0)	Serratia marcescens subsp. marcescens
(107124,ORGANISM,"Elsinoe ampelina",302913,"Elsinoe ampelina",CHEMBL2366993,0)	Elsinoe ampelina
(107125,ORGANISM,"Cercospora theae",29002,"Cercospora theae",CHEMBL2366994,0)	Cercospora theae
(107126,ORGANISM,"Leveillula taurica",62718,"Leveillula taurica",CHEMBL2366995,0)	Leveillula taurica
(107127,ORGANISM,"Phytophthora porri",129359,"Phytophthora porri",CHEMBL2366996,0)	Phytophthora porri
(107128,ORGANISM,"Enterococcus faecalis ATCC 29212",1201292,"Enterococcus faecalis ATCC 29212",CHEMBL2366997,0)	Enterococcus faecalis ATCC 29212
(107129,ORGANISM,"Xanthomonas campestris pv. Phaseoli",29445,"Xanthomonas campestris pv. Phaseoli",CHEMBL2366998,0)	Xanthomonas campestris pv. Phaseoli
(107130,ORGANISM,"Candida aaseri",45518,"Candida aaseri",CHEMBL2366999,0)	Candida aaseri
(107131,ORGANISM,"Aegopodium podagraria",40902,"Aegopodium podagraria",CHEMBL2367000,0)	Aegopodium podagraria
(107132,ORGANISM,"Hylobius abietis",201999,"Hylobius abietis",CHEMBL2367001,0)	Hylobius abietis
(107133,ORGANISM,"Aspergillus niger ATCC 1015",380704,"Aspergillus niger ATCC 1015",CHEMBL2367002,0)	Aspergillus niger ATCC 1015
(107134,ORGANISM,Meloidogyne,189290,Meloidogyne,CHEMBL2367003,1)	Meloidogyne
(107135,ORGANISM,"Lolium perenne",4522,"Lolium perenne",CHEMBL2367004,0)	Lolium perenne
(107136,ORGANISM,Lepidoptera,7088,Lepidoptera,CHEMBL2367005,1)	Lepidoptera
(107137,ORGANISM,Empoasca,139594,Empoasca,CHEMBL2367006,1)	Empoasca
(107138,ORGANISM,Poaceae,4479,Poaceae,CHEMBL2367007,1)	Poaceae
(107139,ORGANISM,"Eleusine indica",29674,"Eleusine indica",CHEMBL2367008,0)	Eleusine indica
(107140,ORGANISM,"Cucurbita pepo",3663,"Cucurbita pepo",CHEMBL2367009,0)	Cucurbita pepo
(107141,ORGANISM,"Armillaria mellea",47429,"Armillaria mellea",CHEMBL2367010,0)	Armillaria mellea
(107142,ORGANISM,"Leptocorisa acuta",236728,"Leptocorisa acuta",CHEMBL2367011,0)	Leptocorisa acuta
(107143,ORGANISM,"Medicago polymorpha",47084,"Medicago polymorpha",CHEMBL2367012,0)	Medicago polymorpha
(107144,ORGANISM,"Phalaris minor",222563,"Phalaris minor",CHEMBL2367013,0)	Phalaris minor
(107145,ORGANISM,"Alternaria porri",48098,"Alternaria porri",CHEMBL2367014,0)	Alternaria porri
(107146,ORGANISM,"Brassica oleracea",3712,"Brassica oleracea",CHEMBL2367015,0)	Brassica oleracea
(107147,ORGANISM,Corticium,39180,Corticium,CHEMBL2367016,1)	Corticium
(107148,ORGANISM,"Phomopsis asparagi",83181,"Phomopsis asparagi",CHEMBL2367017,0)	Phomopsis asparagi
(107149,ORGANISM,"Synedrella nodiflora",183085,"Synedrella nodiflora",CHEMBL2367018,0)	Synedrella nodiflora
(107150,ORGANISM,"Ageratum conyzoides",68299,"Ageratum conyzoides",CHEMBL2367019,0)	Ageratum conyzoides
(107151,ORGANISM,"Cyperus rotundus",512623,"Cyperus rotundus",CHEMBL2367020,0)	Cyperus rotundus
(107152,ORGANISM,"Cenchrus americanus",4543,"Cenchrus americanus",CHEMBL2367021,0)	Cenchrus americanus
(107154,ORGANISM,"Lipaphis erysimi",223995,"Lipaphis erysimi",CHEMBL2367023,0)	Lipaphis erysimi
(107155,ORGANISM,"Frankliniella fusca",407009,"Frankliniella fusca",CHEMBL2367024,0)	Frankliniella fusca
(107156,ORGANISM,"Cerastium arvense",271558,"Cerastium arvense",CHEMBL2367025,0)	Cerastium arvense
(107157,ORGANISM,"Vigna radiata var. radiata",3916,"Vigna radiata var. radiata",CHEMBL2367026,0)	Vigna radiata var. radiata
(107158,ORGANISM,"Cryptolestes ferrugineus",58000,"Cryptolestes ferrugineus",CHEMBL2367027,0)	Cryptolestes ferrugineus
(107159,ORGANISM,"Polygonum humifusum",669781,"Polygonum humifusum",CHEMBL2367028,0)	Polygonum humifusum
(107160,ORGANISM,Leucania,134393,Leucania,CHEMBL2367029,1)	Leucania
(107161,ORGANISM,"Botryosphaeria dothidea",55169,"Botryosphaeria dothidea",CHEMBL2367030,0)	Botryosphaeria dothidea
(107162,ORGANISM,"Podosphaera fuliginea",92473,"Podosphaera fuliginea",CHEMBL2367031,0)	Podosphaera fuliginea
(107163,ORGANISM,"Medicago truncatula",3880,"Medicago truncatula",CHEMBL2367032,0)	Medicago truncatula
(107164,ORGANISM,"Lupinus albus",3870,"Lupinus albus",CHEMBL2367033,0)	Lupinus albus
(107165,ORGANISM,"Human herpesvirus 1 strain KOS",10306,"Human herpesvirus 1 strain KOS",CHEMBL2367034,0)	Human herpesvirus 1 strain KOS
(107166,ORGANISM,"Thlaspi arvense",13288,"Thlaspi arvense",CHEMBL2367035,0)	Thlaspi arvense
(107167,ORGANISM,"Centaurea diffusa",124929,"Centaurea diffusa",CHEMBL2367036,0)	Centaurea diffusa
(107168,ORGANISM,"Liposcelis paeta",209927,"Liposcelis paeta",CHEMBL2367037,0)	Liposcelis paeta
(107169,ORGANISM,"Golovinomyces cichoracearum",62708,"Golovinomyces cichoracearum",CHEMBL2367038,0)	Golovinomyces cichoracearum
(107170,ORGANISM,"Geranium dissectum",326028,"Geranium dissectum",CHEMBL2367039,0)	Geranium dissectum
(107171,ORGANISM,"Sesbania herbacea",498362,"Sesbania herbacea",CHEMBL2367040,0)	Sesbania herbacea
(107172,ORGANISM,"Eleocharis kuroguwai",280063,"Eleocharis kuroguwai",CHEMBL2367041,0)	Eleocharis kuroguwai
(107173,ORGANISM,"Orobanche crenata",223102,"Orobanche crenata",CHEMBL2367042,0)	Orobanche crenata
(107174,ORGANISM,"Fusarium oxysporum f. sp. gladioli",113634,"Fusarium oxysporum f. sp. gladioli",CHEMBL2367043,0)	Fusarium oxysporum f. sp. gladioli
(107175,ORGANISM,"Bombus terrestris",30195,"Bombus terrestris",CHEMBL2367044,0)	Bombus terrestris
(107176,ORGANISM,"Amaranthus tuberculatus",277990,"Amaranthus tuberculatus",CHEMBL2367045,0)	Amaranthus tuberculatus
(107177,ORGANISM,"Tetranychus evansi",178897,"Tetranychus evansi",CHEMBL2367046,0)	Tetranychus evansi
(107178,ORGANISM,Sitophilus,7045,Sitophilus,CHEMBL2367047,1)	Sitophilus
(107179,ORGANISM,"Cyperus esculentus",1053340,"Cyperus esculentus",CHEMBL2367048,0)	Cyperus esculentus
(107180,ORGANISM,"Micrococcus lylae",1273,"Micrococcus lylae",CHEMBL2367049,0)	Micrococcus lylae
(107181,ORGANISM,"Pseudomonas oleovorans",301,"Pseudomonas oleovorans",CHEMBL2367050,0)	Pseudomonas oleovorans
(107182,ORGANISM,"Schwanniomyces occidentalis",27300,"Schwanniomyces occidentalis",CHEMBL2367051,0)	Schwanniomyces occidentalis
(107183,ORGANISM,"Entamoeba histolytica HM-1:IMSS",294381,"Entamoeba histolytica HM-1:IMSS",CHEMBL2367052,0)	Entamoeba histolytica HM-1:IMSS
(107184,ORGANISM,"Theba pisana",145622,"Theba pisana",CHEMBL2367053,0)	Theba pisana
(107185,ORGANISM,"Magnaporthe salvinii",165778,"Magnaporthe salvinii",CHEMBL2367054,0)	Magnaporthe salvinii
(107186,ORGANISM,Nigrospora,114230,Nigrospora,CHEMBL2367055,1)	Nigrospora
(107187,ORGANISM,"Laetisaria fuciformis",234799,"Laetisaria fuciformis",CHEMBL2367056,0)	Laetisaria fuciformis
(107188,ORGANISM,"Bemisia argentifolii",77855,"Bemisia argentifolii",CHEMBL2367057,0)	Bemisia argentifolii
(107189,ORGANISM,"Cryphonectria parasitica",5116,"Cryphonectria parasitica",CHEMBL2367058,0)	Cryphonectria parasitica
(107190,ORGANISM,"Fusarium oxysporum f. sp. lini",120040,"Fusarium oxysporum f. sp. lini",CHEMBL2367059,0)	Fusarium oxysporum f. sp. lini
(107191,ORGANISM,"Sagittaria latifolia",15008,"Sagittaria latifolia",CHEMBL2367060,0)	Sagittaria latifolia
(107192,ORGANISM,"Aphidius colemani",78482,"Aphidius colemani",CHEMBL2367061,0)	Aphidius colemani
(107193,ORGANISM,"Persicaria longiseta",467333,"Persicaria longiseta",CHEMBL2367062,0)	Persicaria longiseta
(107194,ORGANISM,Citrus,2706,Citrus,CHEMBL2367063,1)	Citrus
(107195,ORGANISM,"Pycnoporus coccineus",158605,"Pycnoporus coccineus",CHEMBL2367064,0)	Pycnoporus coccineus
(107196,ORGANISM,"Pestalotiopsis theae",218556,"Pestalotiopsis theae",CHEMBL2367065,0)	Pestalotiopsis theae
(107197,ORGANISM,Earias,656906,Earias,CHEMBL2367066,1)	Earias
(107198,ORGANISM,"Schistocerca americana",7009,"Schistocerca americana",CHEMBL2367067,0)	Schistocerca americana
(107199,ORGANISM,"Diaprepes abbreviatus",13040,"Diaprepes abbreviatus",CHEMBL2367068,0)	Diaprepes abbreviatus
(107200,ORGANISM,"Aulacophora femoralis",131591,"Aulacophora femoralis",CHEMBL2367069,0)	Aulacophora femoralis
(107201,ORGANISM,"Puccinia coronata",27344,"Puccinia coronata",CHEMBL2367070,0)	Puccinia coronata
(107202,ORGANISM,"Polygonum aviculare",137693,"Polygonum aviculare",CHEMBL2367071,0)	Polygonum aviculare
(107203,ORGANISM,"Raphanus raphanistrum",109996,"Raphanus raphanistrum",CHEMBL2367072,0)	Raphanus raphanistrum
(107204,ORGANISM,"Cricetomys gambianus",10085,"Cricetomys gambianus",CHEMBL2367073,0)	Cricetomys gambianus
(107205,ORGANISM,"Rhabditis sp.",35561,"Rhabditis sp.",CHEMBL2367074,0)	Rhabditis sp.
(107206,ORGANISM,"Anastrepha serpentina",43388,"Anastrepha serpentina",CHEMBL2367075,0)	Anastrepha serpentina
(107207,ORGANISM,"Mycogone perniciosa",494059,"Mycogone perniciosa",CHEMBL2367076,0)	Mycogone perniciosa
(107208,ORGANISM,Hemiptera,7524,Hemiptera,CHEMBL2367077,1)	Hemiptera
(107209,ORGANISM,"Botryotinia squamosa",139640,"Botryotinia squamosa",CHEMBL2367078,0)	Botryotinia squamosa
(107210,ORGANISM,Crocidolomia,1178244,Crocidolomia,CHEMBL2367079,1)	Crocidolomia
(107211,ORGANISM,"Veronica hederifolia",202477,"Veronica hederifolia",CHEMBL2367080,0)	Veronica hederifolia
(107212,ORGANISM,"Alisma canaliculatum",120010,"Alisma canaliculatum",CHEMBL2367081,0)	Alisma canaliculatum
(107213,ORGANISM,"Streptomyces alboniger",132473,"Streptomyces alboniger",CHEMBL2367082,0)	Streptomyces alboniger
(107214,ORGANISM,"Encarsia formosa",32400,"Encarsia formosa",CHEMBL2367083,0)	Encarsia formosa
(107215,ORGANISM,"Pieris rapae crucivora",930006,"Pieris rapae crucivora",CHEMBL2367084,0)	Pieris rapae crucivora
(107216,ORGANISM,"Autographa nigrisigna",254368,"Autographa nigrisigna",CHEMBL2367085,0)	Autographa nigrisigna
(107217,ORGANISM,"Rhizoctonia solani AG-4",457000,"Rhizoctonia solani AG-4",CHEMBL2367086,0)	Rhizoctonia solani AG-4
(107218,ORGANISM,"Thrips tabaci",161014,"Thrips tabaci",CHEMBL2367087,0)	Thrips tabaci
(107219,ORGANISM,"Aspergillus pterus",5052,"Aspergillus pterus",CHEMBL2367088,0)	Aspergillus pterus
(107220,ORGANISM,"Unidentified Influenza A virus (H1N2)",1323429,"Unidentified Influenza A virus (H1N2)",CHEMBL2367089,0)	Unidentified Influenza A virus (H1N2)
(107221,ORGANISM,"Poa annua",93036,"Poa annua",CHEMBL2367090,0)	Poa annua
(107222,ORGANISM,"Diaporthe ampelina",1214573,"Diaporthe ampelina",CHEMBL2367091,0)	Diaporthe ampelina
(107223,ORGANISM,Pseudococcidae,30190,Pseudococcidae,CHEMBL2367092,1)	Pseudococcidae
(107224,ORGANISM,"Blumeria graminis f. sp. tritici",62690,"Blumeria graminis f. sp. tritici",CHEMBL2367093,0)	Blumeria graminis f. sp. tritici
(107225,ORGANISM,"Ammannia baccifera",162022,"Ammannia baccifera",CHEMBL2367094,0)	Ammannia baccifera
(107226,ORGANISM,"Chromolaena odorata",103745,"Chromolaena odorata",CHEMBL2367095,0)	Chromolaena odorata
(107227,ORGANISM,"Eclipta prostrata",53719,"Eclipta prostrata",CHEMBL2367096,0)	Eclipta prostrata
(107228,ORGANISM,"Commelina diffusa",428226,"Commelina diffusa",CHEMBL2367097,0)	Commelina diffusa
(107229,ORGANISM,"Calopogonium mucunoides",132433,"Calopogonium mucunoides",CHEMBL2367098,0)	Calopogonium mucunoides
(107230,ORGANISM,"Cannabis sativa",3483,"Cannabis sativa",CHEMBL2367099,0)	Cannabis sativa
(107231,ORGANISM,"Colletotrichum capsici",5456,"Colletotrichum capsici",CHEMBL2367100,0)	Colletotrichum capsici
(107232,ORGANISM,"Ipomoea grandifolia",129204,"Ipomoea grandifolia",CHEMBL2367101,0)	Ipomoea grandifolia
(107233,ORGANISM,"Mimosa pudica",76306,"Mimosa pudica",CHEMBL2367102,0)	Mimosa pudica
(107234,ORGANISM,"Abelmoschus esculentus",455045,"Abelmoschus esculentus",CHEMBL2367103,0)	Abelmoschus esculentus
(107235,ORGANISM,"Cyperus iria",388567,"Cyperus iria",CHEMBL2367104,0)	Cyperus iria
(107236,ORGANISM,"Cercospora canescens",132095,"Cercospora canescens",CHEMBL2367105,0)	Cercospora canescens
(107237,ORGANISM,"Neofusicoccum parvum",310453,"Neofusicoccum parvum",CHEMBL2367106,0)	Neofusicoccum parvum
(107238,ORGANISM,"Plasmodium falciparum D6",478860,"Plasmodium falciparum D6",CHEMBL2367107,0)	Plasmodium falciparum D6
(107239,ORGANISM,"Rumex confertus",1215406,"Rumex confertus",CHEMBL2367108,0)	Rumex confertus
(107240,ORGANISM,"Pythium dissimile",289616,"Pythium dissimile",CHEMBL2367109,0)	Pythium dissimile
(107241,ORGANISM,"Deroceras reticulatum",145610,"Deroceras reticulatum",CHEMBL2367110,0)	Deroceras reticulatum
(107242,ORGANISM,Ascochyta,5453,Ascochyta,CHEMBL2367111,1)	Ascochyta
(107243,ORGANISM,"Diplotaxis erucoides",3732,"Diplotaxis erucoides",CHEMBL2367112,0)	Diplotaxis erucoides
(107244,ORGANISM,"Buffalopox virus",32605,"Buffalopox virus",CHEMBL2367113,0)	Buffalopox virus
(107245,ORGANISM,Leptochloa,160553,Leptochloa,CHEMBL2367114,1)	Leptochloa
(107246,ORGANISM,"Listeria monocytogenes ATCC 19115",176281,"Listeria monocytogenes ATCC 19115",CHEMBL2367115,0)	Listeria monocytogenes ATCC 19115
(107247,ORGANISM,"Trogoderma granarium",591392,"Trogoderma granarium",CHEMBL2367116,0)	Trogoderma granarium
(107248,ORGANISM,"Chenopodium murale",46091,"Chenopodium murale",CHEMBL2367117,0)	Chenopodium murale
(107249,ORGANISM,"Ceratitis capitata",7213,"Ceratitis capitata",CHEMBL2367118,0)	Ceratitis capitata
(107250,ORGANISM,"Chironomus riparius",315576,"Chironomus riparius",CHEMBL2367119,0)	Chironomus riparius
(107251,ORGANISM,"Linaria genistifolia subsp. dalmatica",1071897,"Linaria genistifolia subsp. dalmatica",CHEMBL2367120,0)	Linaria genistifolia subsp. dalmatica
(107252,ORGANISM,"Consolida regalis",984867,"Consolida regalis",CHEMBL2367121,0)	Consolida regalis
(107253,ORGANISM,"Oncorhynchus mykiss",8022,"Oncorhynchus mykiss",CHEMBL2367122,0)	Oncorhynchus mykiss
(107254,ORGANISM,"Rotala indica",162024,"Rotala indica",CHEMBL2367123,0)	Rotala indica
(107255,ORGANISM,"Amaranthus blitum subsp. oleraceus",124762,"Amaranthus blitum subsp. oleraceus",CHEMBL2367124,0)	Amaranthus blitum subsp. oleraceus
(107256,ORGANISM,"Bionectria ochroleuca",29856,"Bionectria ochroleuca",CHEMBL2367125,0)	Bionectria ochroleuca
(107257,ORGANISM,Ustilaginoidea,124426,Ustilaginoidea,CHEMBL2367126,1)	Ustilaginoidea
(107258,ORGANISM,"Cyperus serotinus",1249733,"Cyperus serotinus",CHEMBL2367127,0)	Cyperus serotinus
(107259,ORGANISM,"Nitrosomonas europaea",915,"Nitrosomonas europaea",CHEMBL2367128,0)	Nitrosomonas europaea
(107260,ORGANISM,"Desmanthus illinoensis",196648,"Desmanthus illinoensis",CHEMBL2367129,0)	Desmanthus illinoensis
(107261,ORGANISM,"Bactrocera dorsalis",27457,"Bactrocera dorsalis",CHEMBL2367130,0)	Bactrocera dorsalis
(107262,ORGANISM,"Plasmodium falciparum NF54",5843,"Plasmodium falciparum NF54",CHEMBL2367131,0)	Plasmodium falciparum NF54
(107263,ORGANISM,"Cryptococcus gastricus",92955,"Cryptococcus gastricus",CHEMBL2367132,0)	Cryptococcus gastricus
(107264,ORGANISM,"Bacillus fortis",254758,"Bacillus fortis",CHEMBL2367133,0)	Bacillus fortis
(107265,ORGANISM,"Sogatella furcifera",113103,"Sogatella furcifera",CHEMBL2367134,0)	Sogatella furcifera
(107266,ORGANISM,"Rhodococcus rhodochrous",1829,"Rhodococcus rhodochrous",CHEMBL2367135,0)	Rhodococcus rhodochrous
(107267,ORGANISM,"Xanthogaleruca luteola",200915,"Xanthogaleruca luteola",CHEMBL2367136,0)	Xanthogaleruca luteola
(107268,ORGANISM,"Carnation Italian ringspot virus",39443,"Carnation Italian ringspot virus",CHEMBL2367137,0)	Carnation Italian ringspot virus
(107269,ORGANISM,"Lepinotus reticulatus",209981,"Lepinotus reticulatus",CHEMBL2367138,0)	Lepinotus reticulatus
(107270,ORGANISM,"Amblyseius andersoni",714357,"Amblyseius andersoni",CHEMBL2367139,0)	Amblyseius andersoni
(107271,ORGANISM,"Streptomyces albus",1888,"Streptomyces albus",CHEMBL2367140,0)	Streptomyces albus
(107272,ORGANISM,"Colletotrichum lindemuthianum",290576,"Colletotrichum lindemuthianum",CHEMBL2367141,0)	Colletotrichum lindemuthianum
(107273,ORGANISM,Fuchsia,13069,Fuchsia,CHEMBL2367142,1)	Fuchsia
(107274,ORGANISM,"Anthrenocerus australis",910045,"Anthrenocerus australis",CHEMBL2367143,0)	Anthrenocerus australis
(107275,ORGANISM,"Sclerotium cepivorum",38492,"Sclerotium cepivorum",CHEMBL2367144,0)	Sclerotium cepivorum
(107276,ORGANISM,"Pseudococcus affinis",13232,"Pseudococcus affinis",CHEMBL2367145,0)	Pseudococcus affinis
(107277,ORGANISM,"Citrus x paradisi",37656,"Citrus x paradisi",CHEMBL2367146,0)	Citrus x paradisi
(107278,ORGANISM,"Pseudomonas stutzeri",316,"Pseudomonas stutzeri",CHEMBL2367147,0)	Pseudomonas stutzeri
(107279,ORGANISM,"Cyperus microiria",1249730,"Cyperus microiria",CHEMBL2367148,0)	Cyperus microiria
(107280,ORGANISM,"Popillia japonica",7064,"Popillia japonica",CHEMBL2367149,0)	Popillia japonica
(107281,ORGANISM,"Cacopsylla melanoneura",428564,"Cacopsylla melanoneura",CHEMBL2367150,0)	Cacopsylla melanoneura
(107282,ORGANISM,"Mamestra brassicae",55057,"Mamestra brassicae",CHEMBL2367151,0)	Mamestra brassicae
(107283,ORGANISM,"Acutodesmus obliquus",3088,"Acutodesmus obliquus",CHEMBL2367152,0)	Acutodesmus obliquus
(107284,ORGANISM,Synechococcus,1129,Synechococcus,CHEMBL2367153,1)	Synechococcus
(107285,ORGANISM,"[Brevibacterium] frigoritolerans",450367,"[Brevibacterium] frigoritolerans",CHEMBL2367154,0)	[Brevibacterium] frigoritolerans
(107286,ORGANISM,"Valsa ceratosperma",117550,"Valsa ceratosperma",CHEMBL2367155,0)	Valsa ceratosperma
